dgdp,inflat,fed funds rate,,
0.939240246972531,0.914137586596212,8.48,,
0.843122236850036,0.904924207998135,7.92,,
1.54999133645754,0.62008351782157,7.9,,
0.756094702653513,1.01430099650548,8.1,,
0.956306794180819,0.518835205609321,7.83,,
0.400917820750806,-0.488564558274277,6.92,,
0.959518845097932,0.609877857869151,6.21,,
0.482179396011588,0.696746654012429,6.27,,
0.55289357398658,1.1994726899689,6.22,,
1.05779166601212,1.12690026375014,6.65,,
0.863554282913356,1.05572518456194,6.84,,
1.69657997768286,0.928578100790844,6.92,,
0.51593528175249,0.777320100269037,6.67,,
1.2761513356196,1.14115866259272,7.15,,
0.514958054456088,1.21151092708845,7.98,,
1.32643511685762,1.08651298691035,8.47,,
0.934488455384667,1.12991816560231,9.45,,
0.745465679198787,1.60296950426311,9.73,,
0.789965918233975,0.779110667406485,9.08,,
0.218043204841706,1.01171875514621,8.61,,
1.03925269786919,1.70622492868711,8.25,,
0.396649029724472,0.98472425861263,8.24,,
-0.00151373459800652,1.71224849275222,8.16,,
-0.879997005037126,1.68417097976436,7.74,,
-0.485601456353493,0.744788088341238,6.43,,
0.672662020935491,0.591862167050692,5.86,,
0.42036397971799,0.759096407979257,5.65,,
0.391244228963842,0.826008130222817,4.82,,
1.0916709746682,0.675834699750055,4.02,,
1.05693552650428,0.765808340327624,3.77,,
1.026541785988,0.760698488424737,3.26,,
1.04686285903847,0.871898124412837,3.03,,
0.183613797773887,0.725362703377186,3.04,,
0.637749724645801,0.719445100363373,3,,
0.525024119141904,0.461805042037724,3.06,,
1.31194669904812,0.825501533718125,2.99,,
0.968825346253311,0.500911638590139,3.21,,
1.35856988016224,0.566219442093995,3.94,,
0.642040395636741,0.922306012008789,4.49,,
1.10447774929628,0.580581339996229,5.17,,
0.245024000683657,0.731790089543381,5.8,,
0.214732454265459,0.813954527988813,6.02,,
0.836938846235967,0.503006303756763,5.8,,
0.694798123482656,0.543438824173506,5.72,,
0.682672279825965,0.88546310426085,5.37,,
1.71401154660157,0.85595465240516,5.24,,
0.866086053021149,0.573798195302231,5.31,,
1.085668340555,0.865285633720703,5.28,,
0.766172044013501,0.606976415822885,5.28,,
1.47176177580957,0.229638467415782,5.52,,
1.24730225387066,0.498754151103924,5.53,,
0.764257404176419,0.537730737805248,5.51,,
0.940237578622714,0.20576711094651,5.52,,
0.895200912177415,0.328472284315865,5.5,,
1.31083668654492,0.511814556968659,5.53,,
1.71615743695077,0.467787112568658,4.86,,
0.886879571751138,0.364890664115933,4.73,,
0.778666018654803,0.746299200136491,4.75,,
1.26364436082906,0.740172723716171,5.1,,
1.7801926989639,0.734734395483144,5.3,,
0.261047534918475,0.984845479638352,5.68,,
1.93185856258128,0.780602031862031,6.27,,
0.0835733500192646,0.909907477734237,6.52,,
0.590000716465397,0.710188940786338,6.47,,
-0.330271338003286,0.95221678378698,5.6,,
0.653598770300505,0.698521109071748,4.33,,
-0.274541606086132,0.281876127396004,3.5,,
0.352576440374378,-0.0749015192718616,2.13,,
0.855198292057935,0.31892750485963,1.73,,
0.529201025205111,0.783146305174228,1.75,,
0.498462251350361,0.536817071291011,1.74,,
0.0206421538518953,0.589613597618495,1.44,,
0.404351781447531,1.02339553580453,1.25,,
0.794435538282187,-0.16374030086024,1.25,,
1.66222980750285,0.743404784218228,1.02,,
0.89544976785362,0.378823180229801,1,,
0.701736071090977,0.842856484884919,1,,
0.708219043205077,0.782681585154705,1.01,,
0.73185231498644,0.635706474767517,1.43,,
0.863886566189876,1.06785478719553,1.95,,
0.99286446714143,0.503952683039529,2.47,,
0.425307133731621,0.67351835034674,2.94,,
0.756753882741123,1.50310183603494,3.46,,
0.515464977792135,0.928030395145925,3.98,,
1.30328254543576,0.519729744923097,4.45,,